Restaurant,Restaurant Type,Area,District,Start Day,Start Month,Start Year,base on District-# of ppl able to work>15 - 19,base on District-# of ppl able to work>20 - 24,base on District-# of ppl able to work>25 - 29,base on District-# of ppl able to work>30 - 34,base on District-# of ppl able to work>35 - 39,base on District-# of ppl able to work>40 - 44,base on District-# of ppl able to work>45 - 49,base on District-# of ppl able to work>50 - 54,base on District-# of ppl able to work>55 - 59,base on District-# of ppl able to work>60 - 64,base on District-# of ppl able to work>65+,base on Area #of worker location>15 - 19,base on Area #of worker location>20 - 24,base on Area #of worker location>25 - 29,base on Area #of worker location>30 - 34,base on Area #of worker location>35 - 39,base on Area #of worker location>40 - 44,base on Area #of worker location>45 - 49,base on Area #of worker location>50 - 54,base on Area #of worker location>55 - 59,base on Area #of worker location>60 - 64,base on Area #of worker location>65+,total Sales,payment type-cash,payment type-visa/master,payment type-others,#of transaction,sqf,mthly rent,Restaurant Type,Location Type,Restaurant Status
1,2,2,5,8,6,2019,2490,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,4292204.1,4226491.4,0,65712.7,24779,960,115000,2,2,1
2,2,1,1,1,7,2018,1437,7360,15356,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,16520228,8494776,207767,7817685,116007,800,58800,2,2,0
3,2,2,6,1,7,2018,3062,13572,23324,27273,25675,24778,24120,24610,20979,11209,6963,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,1431273,1271935,57942,101396,10069,500,50000,2,2,1
4,5,1,3,31,8,2018,3380,16922,32334,37728,36941,34252,33867,39818,32962,17659,10510,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,5914377.94,3095834.2,0,2818543.74,153216,650,60000,5,2,0
5,3,1,3,31,8,2018,3380,16922,32334,37728,36941,34252,33867,39818,32962,17659,10510,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,1289046.5,735813,0,553233.5,61893,2000,40000,3,3,0
6,3,4,16,1,8,2018,2026,9412,17739,18951,19591,19569,18056,18897,16624,8667,4292,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,3881772.5,1632881.5,2128,2246763,121018,2500,40000,3,3,1
7,4,1,2,30,9,2018,764,4412,11704,13651,12217,11470,11180,14171,12825,8906,4709,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,11369186.9,8900621,0,2468565.9,211721,6020,14000,4,2,1
8,2,2,9,14,11,2020,3595,21808,35885,41212,39462,36801,36029,38640,33573,19023,9549,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,10026867,5123323,0,4903544,125463,11692,242000,2,1,1
9,2,2,6,30,6,2020,3062,13572,23324,27273,25675,24778,24120,24610,20979,11209,6963,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,9884521.8,8641672.8,221,1242628,74788,800,58800,2,2,1
10,1,3,10,1,11,2018,4354,18173,29953,33373,31685,31071,29136,31025,27405,15274,7978,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,7749997,7749997,0,0,296546,148,18900,1,1,0
