Restaurant,Restaurant Type,Area,District,Start Day,Start Month,Start Year,base on District-# of ppl able to work>15 - 19,base on District-# of ppl able to work>20 - 24,base on District-# of ppl able to work>25 - 29,base on District-# of ppl able to work>30 - 34,base on District-# of ppl able to work>35 - 39,base on District-# of ppl able to work>40 - 44,base on District-# of ppl able to work>45 - 49,base on District-# of ppl able to work>50 - 54,base on District-# of ppl able to work>55 - 59,base on District-# of ppl able to work>60 - 64,base on District-# of ppl able to work>65+,base on Area #of worker location>15 - 19,base on Area #of worker location>20 - 24,base on Area #of worker location>25 - 29,base on Area #of worker location>30 - 34,base on Area #of worker location>35 - 39,base on Area #of worker location>40 - 44,base on Area #of worker location>45 - 49,base on Area #of worker location>50 - 54,base on Area #of worker location>55 - 59,base on Area #of worker location>60 - 64,base on Area #of worker location>65+,total Sales,payment type-cash,payment type-visa/master,payment type-others,#of transaction,sqf,mthly rent,Restaurant Type.1,Location Type,Restaurant Status
1,5,2,6,5,8,2019,3062,19413,29165,27273,25675,24778,24120,24610,20979,11209,6963,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,3967,55296,7645,10592,5879,4192,120179,5,2,0
2,5,2,6,5,8,2019,3062,16189,25941,27273,25675,24778,24120,24610,20979,11209,6963,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,4596,39374,4421,4221,2655,3481,120808,5,2,0
3,5,2,6,5,8,2019,3062,15872,25624,27273,25675,24778,24120,24610,20979,11209,6963,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,4750,43831,4104,7498,2338,6425,120962,5,2,0
4,5,2,6,5,8,2019,3062,16433,26185,27273,25675,24778,24120,24610,20979,11209,6963,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,4818,29669,4665,3455,2899,6956,121030,5,2,0
5,5,2,6,5,8,2019,3062,15887,25639,27273,25675,24778,24120,24610,20979,11209,6963,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,4914,52195,4119,4613,2353,3003,121126,5,2,0
6,5,2,6,5,8,2019,3062,14953,24705,27273,25675,24778,24120,24610,20979,11209,6963,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,5041,19664,3185,1961,1419,6391,121253,5,2,0
7,5,2,6,5,8,2019,3062,18947,28699,27273,25675,24778,24120,24610,20979,11209,6963,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,5190,30749,7179,7152,5413,4227,121402,5,2,0
8,6,1,1,3,3,2020,1437,12470,20466,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,5222,54557,5210,11623,5154,1723,73216,6,1,0
9,6,1,1,3,3,2020,1437,11525,19521,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,5406,32674,4265,8083,4209,467,73400,6,1,0
10,5,2,6,5,8,2019,3062,14777,24529,27273,25675,24778,24120,24610,20979,11209,6963,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,5421,24182,3009,3723,1243,7578,121633,5,2,0
11,6,1,1,3,3,2020,1437,7529,15525,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,5455,48393,269,7802,213,3978,73449,6,1,0
12,6,1,1,3,3,2020,1437,9121,17117,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,5491,4323,1861,9242,1805,118,73485,6,1,0
13,5,2,6,5,8,2019,3062,13799,23551,27273,25675,24778,24120,24610,20979,11209,6963,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,5614,6826,2031,5800,265,5047,121826,5,2,0
14,5,2,6,5,8,2019,3062,16202,25954,27273,25675,24778,24120,24610,20979,11209,6963,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,5628,23136,4434,5739,2668,5964,121840,5,2,0
15,5,2,6,5,8,2019,3062,17939,27691,27273,25675,24778,24120,24610,20979,11209,6963,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,5766,15758,6171,9759,4405,4720,121978,5,2,0
16,5,2,6,5,8,2019,3062,15960,25712,27273,25675,24778,24120,24610,20979,11209,6963,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,6070,33714,4192,4433,2426,6815,122282,5,2,0
17,6,1,1,3,3,2020,1437,12050,20046,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,6086,6909,4790,13303,4734,5078,74080,6,1,0
18,6,1,1,3,3,2020,1437,11582,19578,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,6087,36220,4322,12600,4266,-6,74081,6,1,0
19,5,2,6,5,8,2019,3062,14912,24664,27273,25675,24778,24120,24610,20979,11209,6963,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,6153,37448,3144,5045,1378,6175,122365,5,2,0
20,6,1,1,3,3,2020,1437,10384,18380,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,6223,47907,3124,9280,3068,5209,74217,6,1,0
21,5,2,6,5,8,2019,3062,17880,27632,27273,25675,24778,24120,24610,20979,11209,6963,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,6474,5381,6112,7946,4346,3338,122686,5,2,0
22,5,2,6,5,8,2019,3062,17395,27147,27273,25675,24778,24120,24610,20979,11209,6963,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,6524,52132,5627,7525,3861,4220,122736,5,2,0
23,6,1,1,3,3,2020,1437,12471,20467,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,6591,25612,5211,8902,5155,1174,74585,6,1,0
24,5,2,6,5,8,2019,3062,16801,26553,27273,25675,24778,24120,24610,20979,11209,6963,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,6598,32245,5033,7719,3267,4344,122810,5,2,0
25,5,2,6,5,8,2019,3062,15220,24972,27273,25675,24778,24120,24610,20979,11209,6963,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,6658,20669,3452,2568,1686,7128,122870,5,2,0
26,6,1,1,3,3,2020,1437,8857,16853,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,6664,24758,1597,6530,1541,2274,74658,6,1,0
