Unknown,Restaurant,Restaurant Type,Area,District,Start Day,Start Month,Start Year,base on District-# of ppl able to work>15 - 19,base on District-# of ppl able to work>20 - 24,base on District-# of ppl able to work>25 - 29,base on District-# of ppl able to work>30 - 34,base on District-# of ppl able to work>35 - 39,base on District-# of ppl able to work>40 - 44,base on District-# of ppl able to work>45 - 49,base on District-# of ppl able to work>50 - 54,base on District-# of ppl able to work>55 - 59,base on District-# of ppl able to work>60 - 64,base on District-# of ppl able to work>65+,base on Area #of worker location>15 - 19,base on Area #of worker location>20 - 24,base on Area #of worker location>25 - 29,base on Area #of worker location>30 - 34,base on Area #of worker location>35 - 39,base on Area #of worker location>40 - 44,base on Area #of worker location>45 - 49,base on Area #of worker location>50 - 54,base on Area #of worker location>55 - 59,base on Area #of worker location>60 - 64,base on Area #of worker location>65+,total Sales,payment type-cash,payment type-visa/master,payment type-others,#of transaction,Restaurant Status,sqf,mthly rent,Restaurant Type.1,Location Type,
0,1,1,2,8,7,4,2018,2739,14357,25571,28335,26243,24622,24061,27139,22843,13328,7986,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,2726286.405,1792628.231,304562.1822,629095.9921,77768.75302,0,2530,19140,1,2,
1,2,1,2,8,2,4,2018,2739,14357,25571,28335,26243,24622,24061,27139,22843,13328,7986,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,2965186.851,2061957.993,283563.0118,619665.8462,56287.80426,1,2483,19308,1,2,
2,3,1,1,1,7,10,2018,2739,14357,25571,28335,26243,24622,24061,27139,22843,13328,7986,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,2613966.367,1698640.817,285011.6806,630313.8688,57769.65788,1,3276,19786,1,2,
3,4,1,3,11,20,6,2018,4354,18173,29953,33373,31685,31071,29136,31025,27405,15274,7978,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,2820619.3,1910985.967,286469.8547,623163.4778,59261.24204,1,2310,20118,1,2,
4,5,1,4,17,30,6,2018,2739,14357,25571,28335,26243,24622,24061,27139,22843,13328,7986,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,2739106.474,1803901.962,288549.8051,646654.707,61388.86242,1,4385,20129,1,3,
5,6,1,1,3,26,6,2018,3380,16922,32334,37728,36941,34252,33867,39818,32962,17659,10510,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,4945009.63,3694335.715,752405.0603,498268.8547,139177.8964,0,1420,20134,1,2,
6,7,1,1,1,22,1,2018,2739,14357,25571,28335,26243,24622,24061,27139,22843,13328,7986,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,4930424.762,3678599.564,753924.9415,497900.2567,140802.38,0,1646,20306,1,2,
7,8,1,3,14,6,9,2018,5239,23811,34052,39449,39503,36771,32908,34818,29743,16807,8575,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,2886804.35,1908435.613,328245.7223,650123.0154,101997.599,1,5160,20345,1,2,
8,9,1,2,6,23,10,2018,2739,14357,25571,28335,26243,24622,24061,27139,22843,13328,7986,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,3018995.316,2082931.244,291513.4527,644550.6196,64420.46048,1,263,20348,1,1,
9,10,1,1,2,7,3,2018,764,4412,11704,13651,12217,11470,11180,14171,12825,8906,4709,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,2664841.619,1708123.894,316498.4205,640219.3045,89979.56124,1,1227,20554,1,1,
10,11,1,4,17,5,11,2018,2739,14357,25571,28335,26243,24622,24061,27139,22843,13328,7986,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,4948805.375,3698905.006,751570.7175,498329.6519,138286.1429,1,4035,20747,1,1,
