Unknown,Restaurant,Restaurant Type,Area,District,Start Day,Start Month,Start Year,base on District-# of ppl able to work>15 - 19,base on District-# of ppl able to work>20 - 24,base on District-# of ppl able to work>25 - 29,base on District-# of ppl able to work>30 - 34,base on District-# of ppl able to work>35 - 39,base on District-# of ppl able to work>40 - 44,base on District-# of ppl able to work>45 - 49,base on District-# of ppl able to work>50 - 54,base on District-# of ppl able to work>55 - 59,base on District-# of ppl able to work>60 - 64,base on District-# of ppl able to work>65+,base on Area #of worker location>15 - 19,base on Area #of worker location>20 - 24,base on Area #of worker location>25 - 29,base on Area #of worker location>30 - 34,base on Area #of worker location>35 - 39,base on Area #of worker location>40 - 44,base on Area #of worker location>45 - 49,base on Area #of worker location>50 - 54,base on Area #of worker location>55 - 59,base on Area #of worker location>60 - 64,base on Area #of worker location>65+,total Sales,payment type-cash,payment type-visa/master,payment type-others,#of transaction,Restaurant Status,sqf,mthly rent,Restaurant Type.1,Location Type,
0,1,1,2,8,7,4,2018,2739,14357,25571,28335,26243,24622,24061,27139,22843,13328,7986,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,2726286.405,1792628.231,304562.1822,629095.9921,77768.75302,1,2530,19140,1,2,
1,2,1,2,8,2,4,2018,2739,14357,25571,28335,26243,24622,24061,27139,22843,13328,7986,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,2965186.851,2061957.993,283563.0118,619665.8462,56287.80426,1,2483,19308,1,2,
65,66,1,2,8,19,10,2018,2739,14357,25571,28335,26243,24622,24061,27139,22843,13328,7986,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,5319932.242,4051555.908,764556.0793,503820.2542,136928.3105,1,3683,150333,1,2,
73,74,1,2,8,28,11,2018,2739,14357,25571,28335,26243,24622,24061,27139,22843,13328,7986,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,5310451.505,4037878.628,766905.4799,505667.3968,139361.7986,1,550,71342,1,1,
80,81,1,2,8,1,1,2018,2739,14357,25571,28335,26243,24622,24061,27139,22843,13328,7986,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,7192148.358,5869142.402,803167.6307,519838.3255,140791.0834,1,3247,154058,1,1,
84,85,1,2,8,2,10,2018,2739,14357,25571,28335,26243,24622,24061,27139,22843,13328,7986,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,3008903.466,2007432.664,325014.0183,676456.7839,90650.06556,1,500,154576,1,2,
138,139,1,2,8,31,1,2018,2739,14357,25571,28335,26243,24622,24061,27139,22843,13328,7986,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,3563739.954,2605889.871,292891.8092,664958.274,57804.72231,1,2366,80056,1,2,
209,210,1,2,8,2,11,2018,2739,14357,25571,28335,26243,24622,24061,27139,22843,13328,7986,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,5354459.618,4079939.761,768971.1917,505548.6662,139747.361,1,10462,92109,1,3,
243,244,1,2,8,20,9,2018,2739,14357,25571,28335,26243,24622,24061,27139,22843,13328,7986,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,3501255.28,2505646.162,315967.4358,679641.6825,81457.57417,1,10097,98692,1,3,
259,260,1,2,8,17,1,2018,2739,14357,25571,28335,26243,24622,24061,27139,22843,13328,7986,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,5361563.32,4084621.347,771407.485,505534.4881,141413.8132,1,1312.040162,62360.54,1,3,
260,261,1,2,8,10,9,2018,2739,14357,25571,28335,26243,24622,24061,27139,22843,13328,7986,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,3014342.353,2019646.589,331566.1969,663129.5678,102318.5013,1,1716.039953,62939.54,1,2,
308,309,1,2,8,17,7,2018,2739,14357,25571,28335,26243,24622,24061,27139,22843,13328,7986,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,5648380.147,4357524.311,781141.0591,509714.7762,141740.919,1,2292.115223,62747.11498,1,2,
309,310,1,2,8,14,10,2018,2739,14357,25571,28335,26243,24622,24061,27139,22843,13328,7986,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,3090053.341,2086366.49,333364.4266,670322.425,102489.7443,1,1843.616585,62756.11498,1,2,
438,439,1,2,8,11,2,2018,2739,14357,25571,28335,26243,24622,24061,27139,22843,13328,7986,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,5811552.039,4517131.57,781418.085,513002.3843,141520.5403,1,3325.114841,80944.11499,1,2,
456,457,1,2,8,26,11,2018,2739,14357,25571,28335,26243,24622,24061,27139,22843,13328,7986,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,4290858.309,3033070.325,755089.939,502698.0444,140855.4924,1,2673.574612,62365.57499,1,3,
573,574,1,2,8,15,3,2019,2739,14357,25571,28335,26243,24622,24061,27139,22843,13328,7986,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,5830588.78,4541219.891,779102.7215,510266.1667,139187.9334,1,3581.07495,70091.57499,1,2,
677,678,1,2,8,27,3,2020,2739,14357,25571,28335,26243,24622,24061,27139,22843,13328,7986,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,2218350.444,1990261.059,161080.3759,67009.00984,68082.65814,1,4258.575118,72482.57499,1,2,
687,688,1,2,8,30,6,2020,2739,14357,25571,28335,26243,24622,24061,27139,22843,13328,7986,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,286549.9577,263691.9798,15763.97764,7094.000312,53703.59839,1,4101.574909,80687.57499,1,2,
8,9,1,2,6,23,10,2018,2739,14357,25571,28335,26243,24622,24061,27139,22843,13328,7986,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,3018995.316,2082931.244,291513.4527,644550.6196,64420.46048,1,263,20348,1,1,
15,16,1,2,6,1,3,2018,2490,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,4935774.929,3683575.784,753032.6084,499166.5361,139848.632,1,4709,21689,1,1,
22,23,1,2,6,17,5,2018,2490,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,2954096.722,2031042.149,286635.1009,636419.4723,59430.27468,1,5135,22526,1,1,
78,79,1,2,6,24,1,2018,2490,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,3248857.788,2298013.033,293421.6827,657423.0725,59551.07502,1,2877,153166,1,1,
