Restaurant,Restaurant Type,Area,District,Start Day,Start Month,Start Year,base on District-# of ppl able to work>15 - 19,base on District-# of ppl able to work>20 - 24,base on District-# of ppl able to work>25 - 29,base on District-# of ppl able to work>30 - 34,base on District-# of ppl able to work>35 - 39,base on District-# of ppl able to work>40 - 44,base on District-# of ppl able to work>45 - 49,base on District-# of ppl able to work>50 - 54,base on District-# of ppl able to work>55 - 59,base on District-# of ppl able to work>60 - 64,base on District-# of ppl able to work>65+,base on Area #of worker location>15 - 19,base on Area #of worker location>20 - 24,base on Area #of worker location>25 - 29,base on Area #of worker location>30 - 34,base on Area #of worker location>35 - 39,base on Area #of worker location>40 - 44,base on Area #of worker location>45 - 49,base on Area #of worker location>50 - 54,base on Area #of worker location>55 - 59,base on Area #of worker location>60 - 64,base on Area #of worker location>65+, total Sales , payment type-cash , payment type-visa/master , payment type-others ,#of transaction,sqf,mthly rent,Location Type
193,1,1,2,28,1,2018,2739,4412,11704,13651,12217,11470,11180,14171,12825,8906,4709,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,"44,965,667","19,717,170","14,617,657","10,630,839",5764.196649,2032,57957,3
207,1,2,10,22,10,2018,2739,21808,35885,41212,39462,36801,36029,38640,33573,19023,9549,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,"41,949,957","28,517,365","3,161,371","10,271,222",57867.8251,6701,91686,3
5,1,4,17,30,6,2018,2739,14357,25571,28335,26243,24622,24061,27139,22843,13328,7986,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,"42,382,955","28,862,431","3,174,048","10,346,475",61388.86242,4385,20129,3
67,1,3,12,11,6,2018,2505,11307,20104,21693,19033,21842,18984,20697,18175,9121,5325,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"42,830,552","29,663,870","3,163,175","10,003,507",58285.88505,1135,150484,3
539,1,3,11,26,9,2018,2739,18173,29953,33373,31685,31071,29136,31025,27405,15274,7978,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"44,933,227","31,974,175","3,110,524","9,848,527",56258.79879,3875.114809,81494.11499,3
307,1,2,5,28,7,2018,2739,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,"45,285,302","31,401,569","3,217,526","10,666,206",61567.00117,2422.115004,62114.11498,3
422,1,4,16,11,7,2018,2026,9412,17739,18951,19591,19569,18056,18897,16624,8667,4292,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"45,485,321","31,819,854","3,309,785","10,355,681",74878.02189,3921.11491,70117.11499,3
233,1,4,17,17,7,2018,2739,21472,35257,41318,40057,42088,44300,43891,33726,18357,10475,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"45,949,115","32,067,648","3,213,766","10,667,701",58055.95555,8215,96838,3
282,1,2,10,18,9,2018,3595,21808,35885,41212,39462,36801,36029,38640,33573,19023,9549,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,"46,052,602","32,159,614","3,215,109","10,677,878",58060.77847,1413.039745,72554.54,3
14,1,1,4,5,6,2018,1958,7638,14489,18103,18217,17977,16847,18401,15068,8773,5860,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,"46,297,951","32,644,896","3,383,797","10,269,258",80894.75445,4222,21152,3
206,1,2,5,8,3,2018,2490,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,"48,196,532","34,956,732","3,145,169","10,094,631",56381.00085,10473,91317,3
58,1,4,17,10,8,2018,4261,21472,35257,41318,40057,42088,44300,43891,33726,18357,10475,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"48,861,026","35,143,190","3,231,106","10,486,730",64529.04378,4668,149889,3
100,1,1,2,21,10,2018,764,4412,11704,13651,12217,11470,11180,14171,12825,8906,4709,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,"49,250,952","35,922,840","3,156,016","10,172,096",56419.13002,5066,157855,3
505,1,1,1,25,3,2018,2739,7360,15356,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,"50,439,112","36,720,257","3,198,139","10,520,716",59602.10249,4367.115298,63566.11499,3
391,1,3,11,17,1,2018,2739,18173,29953,33373,31685,31071,29136,31025,27405,15274,7978,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"53,028,338","38,773,778","3,463,646","10,790,914",81386.59987,2217.074986,79652.57499,3
244,1,2,8,20,9,2018,2739,14357,25571,28335,26243,24622,24061,27139,22843,13328,7986,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,"54,440,247","40,090,339","3,475,642","10,874,267",81457.57417,10097,98692,3
457,1,2,8,26,11,2018,2739,14357,25571,28335,26243,24622,24061,27139,22843,13328,7986,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,"64,878,283","48,529,125","8,305,989","8,043,169",140855.4924,2673.574612,62365.57499,3
512,1,3,13,14,6,2018,3816,17730,27492,29204,29717,30267,29580,29932,25976,14760,6860,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"71,203,444","54,286,853","8,687,005","8,229,587",142198.4695,4229.615128,65453.11499,3
524,1,1,1,3,3,2018,1437,7360,15356,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,"71,225,031","54,304,127","8,662,476","8,258,428",139963.0949,4279.614907,70790.11499,3
210,1,2,8,2,11,2018,2739,14357,25571,28335,26243,24622,24061,27139,22843,13328,7986,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,"60,693,378","48,959,277","7,689,712","4,044,389",139747.361,10462,92109,3
277,1,3,12,30,10,2018,2739,11307,20104,21693,19033,21842,18984,20697,18175,9121,5325,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"60,775,642","49,065,801","7,672,990","4,036,850",137180.5423,2143.540162,70367.54,3
